feature,h,ic_s,t_s,n_s,ic_l,t_l,n_l,scale,t_exp,realized
reversal_5,21,0.008930105761982833,0.4795980942792421,2152,0.010106390100232962,0.9410248943001114,5424,1.5875912876601066,0.7614057560561152,1.2359046235405113
reversal_21,1,0.005739537633257468,1.2001729829303103,2156,0.0065199834417105605,2.419347116305011,5428,1.5867026286960473,1.9043176269054995,1.2704535641128472
reversal_21,5,0.009534276147246485,0.9603280754578692,2152,0.009184616524421294,1.59368896866268,5424,1.5875912876601066,1.5246084858923106,1.0453103097677818
reversal_21,21,0.015081598381832418,0.7919824852089024,2136,0.009218762581729763,0.8343356711719446,5408,1.591174159541472,1.2601820652738414,0.6620755001703987
low_vol_60,1,-0.004811806051925687,-0.7825720632161921,2117,0.0011290727648129162,0.3071692392697497,5389,1.595488443297918,-1.2485846829092422,-0.24601394160469403
low_vol_60,5,-0.019569896501687563,-1.4447174273767385,2113,-0.016571910320576276,-2.0343286524209394,5385,1.5964050953893094,-2.30635426246196,0.8820538481583302
low_vol_60,21,-0.03839071773189659,-1.4954789586284143,2097,-0.038802922653894,-2.437047836426897,5369,1.6001013320320139,-2.392917873727175,1.0184419044147912
vol_change,1,0.0007954885357295257,0.2439367470294667,2117,0.0019646531647325377,1.0199829912159537,5389,1.595488443297918,0.38919826078120184,2.6207285437726155
vol_change,5,-0.0006431577531904711,-0.09116847697054481,2113,0.0027803828626663404,0.6551869877441199,5385,1.5964050953893094,-0.14554182117466063,-4.501709422461111
vol_change,21,-0.005886639203159562,-0.43368228642385853,2097,0.005083155963390157,0.6074336320159599,5369,1.6001013320320139,-0.6939356041855054,-0.875345822223554
trend_r2_126,1,0.003193197393688203,0.9469166025065803,2052,0.005072168893334979,2.6490215142480076,5324,1.6107581787255913,1.525253662058524,1.736774400313726
trend_r2_126,5,0.00018969339512969882,0.025836396348325207,2048,0.006565441567813694,1.5312030392089786,5320,1.6117246197784534,0.041641156080949863,
trend_r2_126,21,-0.004900628816169995,-0.34094971644563665,2032,0.008236116853233326,0.9557271136167095,5304,1.6156225488870972,-0.5508460499262325,-1.7350167324331314
ma_dist_200,1,0.006894323194084571,1.1926523806614362,1978,0.005011197867181336,1.588106103649331,5250,1.6291703894114593,1.943033943434696,0.8173331757869551
ma_dist_200,5,-0.0005207166020610142,-0.041964099939534594,1974,0.0009575585117037689,0.1368354172507137,5246,1.6301987994208658,-0.06840982534020652,-2.0002304723074826
ma_dist_200,21,-0.008804848724310343,-0.3721597897280724,1958,-0.003485814950907478,-0.25581806245288274,5230,1.63434786749695,-0.6082385587101885,0.42058836749081224
drawdown_252,1,0.002122220479923822,0.3509623875924067,1926,0.0016568011114572521,0.5048160803919217,5198,1.6428200559528465,0.5765680492219022,0.8755533385403299
drawdown_252,5,-0.008870621633065304,-0.6708199619934444,1922,-0.00852549317552499,-1.153539937395575,5194,1.6438957814504396,-1.1027581056337674,1.0460498376773415
drawdown_252,21,-0.023646844787695808,-0.915492002330048,1906,-0.021848898895147736,-1.4759529116400147,5178,1.6482366806072044,-1.5089474990429215,0.9781340388424156
near_high_252,1,0.002122220479923822,0.3509623875924067,1926,0.0016568011114572521,0.5048160803919217,5198,1.6428200559528465,0.5765680492219022,0.8755533385403299
near_high_252,5,-0.008870621633065304,-0.6708199619934444,1922,-0.00852549317552499,-1.153539937395575,5194,1.6438957814504396,-1.1027581056337674,1.0460498376773415
near_high_252,21,-0.023646844787695808,-0.915492002330048,1906,-0.021848898895147736,-1.4759529116400147,5178,1.6482366806072044,-1.5089474990429215,0.9781340388424156
skew_126,1,0.0004852705722010949,0.17481766838882143,2051,0.0016812808989672195,1.0433635447371226,5323,1.6109994898855513,0.2816311745973728,3.7047160927008242
skew_126,5,-0.0008980867000811827,-0.14611504602171918,2047,-0.00030811960291616706,-0.08610483612933759,5319,1.6119667293985431,-0.2355325928515483,0.3655750360783733
skew_126,21,0.004266305589375254,0.3499951086081376,2031,0.0012610402831150158,0.1791087409114815,5303,1.6158678936500959,0.5655458589344678,0.31670064961475664
sharpe_126,1,0.007506578309885022,1.4386415653928877,2051,0.006007243289579523,2.0822005577511793,5323,1.6109994898855513,2.317650827976093,0.8984099470969393
sharpe_126,5,-0.00030272715903963306,-0.026924187870517664,2047,-0.00016524338322079828,-0.025684563626083092,5319,1.6119667293985431,-0.043400895063350285,
sharpe_126,21,-0.010863990726893227,-0.5161845322238662,2031,-0.010379826067639797,-0.8267585515941239,5303,1.6158678936500959,-0.8340860128193387,0.9912149812937795
vol_trend,1,0.003987865577436135,1.7781406341574377,2118,0.0014213546416140931,1.0392124746283593,5390,1.595259739197725,2.8365961643028714,0.3663589790137641
