setup,lb,th,horizon,n_events,mean,base,edge,t,win,ann_edge
5d move <= -2.0sd,5,-2.0,5.0,1986.0,0.005968866500554528,0.002700905720070402,0.003267960780484126,2.5775599121088115,0.5765357502517623,0.16470522333639995
5d move <= -2.0sd,5,-2.0,21.0,1980.0,0.02136122026168434,0.011453786921395592,0.009907433340288749,4.858294041375695,0.6141414141414141,0.11888920008346499
5d move <= -1.5sd,5,-1.5,1.0,4116.0,0.001309868535497647,0.0005175824502968995,0.0007922860852007474,1.9572219051299355,0.5451895043731778,0.19965609347058835
5d move <= -1.5sd,5,-1.5,5.0,4112.0,0.005204102762629432,0.0026434033593446065,0.0025606994032848257,3.432772199299252,0.5749027237354085,0.1290592499255552
5d move <= -1.5sd,5,-1.5,21.0,4091.0,0.018085052568175403,0.011339579119604516,0.006745473448570887,5.282773425274617,0.609142019066243,0.08094568138285065
5d move >= +1.5sd,5,1.5,1.0,3945.0,-9.423142850336822e-06,0.0005980066523428962,-0.000607429795193233,-2.151926909836057,0.5024081115335868,-0.15307230838869473
5d move >= +1.5sd,5,1.5,5.0,3941.0,0.0008947000438831913,0.0029061393557332322,-0.002011439311850041,-3.6356654041403833,0.5348896219233698,-0.10137654131724205
5d move >= +1.5sd,5,1.5,21.0,3924.0,0.013463523438137628,0.011631683674839268,0.0018318397632983603,1.6291294416195057,0.5930173292558614,0.021982077159580324
5d move >= +2.0sd,5,2.0,1.0,1732.0,-0.0007028930443900239,0.0005959202495664738,-0.0012988132939564978,-2.8509885411295963,0.49018475750577367,-0.32730095007703747
5d move >= +2.0sd,5,2.0,5.0,1731.0,-0.0014098756801197015,0.0028994831930153724,-0.004309358873135074,-4.908926749844773,0.5222414789139226,-0.2171916872060077
5d move >= +2.0sd,5,2.0,21.0,1723.0,0.012781965249586125,0.011708087074817167,0.0010738781747689583,0.6259957017192491,0.596053395240859,0.0128865380972275
5d move >= +2.5sd,5,2.5,1.0,751.0,-0.001531971126278123,0.0005865587016827303,-0.002118529827960853,-2.7896752720081897,0.47270306258322237,-0.533869516646135
5d move >= +2.5sd,5,2.5,5.0,751.0,-0.002494602439688705,0.0028504373075924614,-0.005345039747281167,-3.7320571099441437,0.5193075898801598,-0.2693900032629708
5d move >= +2.5sd,5,2.5,21.0,748.0,0.01864440105913638,0.011659790431997214,0.0069846106271391675,2.5747917664000752,0.6483957219251337,0.08381532752567
5d move >= +3.0sd,5,3.0,1.0,337.0,-0.002290904205571271,0.0005776837191659248,-0.0028685879247371954,-2.249757708032453,0.4688427299703264,-0.7228841570337732
5d move >= +3.0sd,5,3.0,5.0,337.0,-0.004128094065795804,0.0028266590784528935,-0.006954753144248697,-3.020236681570288,0.49851632047477745,-0.35051955847013433
5d move >= +3.0sd,5,3.0,21.0,334.0,0.022731678755180573,0.011681744668285964,0.011049934086894609,2.7476284233738593,0.6616766467065869,0.1325992090427353
21d move <= -3.0sd,21,-3.0,1.0,429.0,0.004934442046118497,0.0005371235610753994,0.004397318485043098,1.5690837511292406,0.5361305361305362,1.1081242582308606
21d move <= -3.0sd,21,-3.0,5.0,429.0,0.014405188730409475,0.0027219463064237733,0.011683242423985702,2.4985738620983664,0.5967365967365967,0.5888354181688794
21d move <= -3.0sd,21,-3.0,21.0,429.0,0.06800941957125449,0.011386880485260823,0.05662253908599367,9.890290752319604,0.6876456876456877,0.679470469031924
21d move <= -2.5sd,21,-2.5,1.0,941.0,0.002773138412747814,0.0005339876686018714,0.0022391507441459424,1.5391543456119914,0.5419766206163655,0.5642659875247775
21d move <= -2.5sd,21,-2.5,5.0,941.0,0.010003705399284156,0.0026953974108361446,0.007308307988448011,2.902642510443866,0.5791710945802337,0.3683387226177797
21d move <= -2.5sd,21,-2.5,21.0,940.0,0.043151641458124224,0.011306098666930485,0.03184554279119374,9.137597627247185,0.6382978723404256,0.3821465134943249
21d move <= -2.0sd,21,-2.0,1.0,2094.0,0.002051757769834101,0.0005182928738511175,0.0015334648959829836,2.0586092448424567,0.5487106017191977,0.38643315378771187
